id,topic, source, target 
1,Ad Topics,Source,Target
2,3D printing,1,1
3,Acting,1,2
4,Adobe Creative Cloud,1,3
5,Adobe Creative Suite,1,4
6,Adobe InDesign,1,5
7,Adobe Photoshop,1,6
8,Adventure travel,1,7
9,Air travel,1,8
10,Album,1,9
11,Amazon.com,1,10
12,Animated movies,1,11
13,Anime movies,1,12
14,Architecture,1,13
15,Artificial intelligence,1,14
16,Arts and music,1,15
17,Autodromo Nazionale Monza,1,16
18,Barbecue,1,17
19,Beer,1,18
20,Behance,1,19
21,Boating,1,20
22,Boats,1,21
23,Bolivia,1,22
24,Boromir,1,23
25,Boss (TV series),1,24
26,British Columbia,1,25
27,Bursary,1,26
28,Burton Snowboards,1,27
29,Business,1,28
30,Business process modeling,1,29
31,Camping,1,30
32,Canada,1,31
33,Cereal,1,32
34,City,1,33
35,Click (2006 film),1,34
36,Coffeehouses,1,35
37,Collectable,1,36
38,Comic book,1,37
39,Comics,1,38
40,Content strategy,1,39
41,Cooking,1,40
42,Cork (material),1,41
43,Cosmetics,1,42
44,Creativity,1,43
45,Cuisine,1,44
46,Cycling,1,45
47,Dave Edmunds,1,46
48,Dell,1,47
49,Dell XPS,1,48
50,Design,1,49
51,Desserts,1,50
52,Details (magazine),1,51
53,Digital art,1,52
54,Distribution (business),1,53
55,DNA,1,54
56,Don (honorific),1,55
57,Dry (rapper),1,56
58,E-books,1,57
59,E-commerce,1,58
60,Eat-More,1,59
61,Edmonton,1,60
62,Edmonton International Airport,1,61
63,Electronics,1,62
64,Eli Roth,1,63
65,Emily Carr University of Art and Design,1,64
66,Emotion,1,65
67,Entertainment,1,66
68,Entre RÃ­os Province,1,67
69,Entrepreneurship,1,68
70,Essence (magazine),1,69
71,Ethics,1,70
72,Everything (band),1,71
73,Executive education,1,72
74,Fairline Boats,1,73
75,Family,1,74
76,Fantasy movies,1,75
77,Farmer,1,76
78,Fiction books,1,77
79,Final good,1,78
80,First-person shooter games,1,79
81,Fishing,1,80
82,Fishing line,1,81
83,Fishing rod,1,82
84,Fishing tackle,1,83
85,Flare,1,84
86,Fly fishing,1,85
87,Focus (German magazine),1,86
88,Food,1,87
89,Foodie,1,88
90,Footwear,1,89
91,Freight transport,1,90
92,French fries,1,91
93,Friday (1995 film),1,92
94,Friendship,1,93
95,Game of Thrones,1,94
96,Games,1,95
97,Gold Country,1,96
98,Gondola lift,1,97
99,Good (economics),1,98
100,Grant (money),1,99
101,Graphic design,1,100
102,Guatemala,1,101
103,H.E.A.R.,1,102
104,HBO,1,103
105,Heatwave (band),1,104
106,Homo sapiens,1,105
107,Hops,1,106
108,Horror movies,1,107
109,Hostel (2005 film),1,108
110,House (TV series),1,109
111,Human,1,110
112,Hunting,1,111
113,Illustration,1,112
114,India,1,113
115,Industry,1,114
116,Instagram,1,115
117,Insurance,1,116
118,Interaction design,1,117
119,J. J. Abrams,1,118
120,Jewelry,1,119
121,Jonny Wilkinson,1,120
122,Jordan Peele,1,121
123,Jude Law,1,122
124,Kitchen,1,123
125,Laptop,1,124
126,Life,1,125
127,Local food,1,126
128,Loop Tackle,1,127
129,Love,1,128
130,Luxury goods,1,129
131,Magazines,1,130
132,Marvel Entertainment,1,131
133,Marvel Studios,1,132
134,Mass production,1,133
135,Massachusetts Institute of Technology,1,134
136,Massively multiplayer online role-playing games,1,135
137,McCain Foods,1,136
138,Michael Dell,1,137
139,Minimalism,1,138
140,MIT Sloan School of Management,1,139
141,Moonshine,1,140
142,Mountain biking,1,141
143,Mountain Equipment Co-op,1,142
144,Munchies (film),1,143
145,Music download,1,144
146,Music festivals,1,145
147,Musical instrument,1,146
148,Naomie Harris,1,147
149,Nation,1,148
150,Natural fiber,1,149
151,Nintendo,1,150
152,Nitro Circus,1,151
153,One Day (2011 film),1,152
154,Online shopping,1,153
155,ONTV (Egypt),1,154
156,Organic food,1,155
157,Outdoor recreation,1,156
158,Outlet store,1,157
159,Pacific Northwest,1,158
160,Partner (2007 film),1,159
161,Patagonia,1,160
162,Patagonia (clothing),1,161
163,People,1,162
164,Photography,1,163
165,Podcast,1,164
166,Potato,1,165
167,Poutine,1,166
168,Product (business),1,167
169,Product (chemistry),1,168
170,Quebec,1,169
171,Rabbits,1,170
172,Rainbow trout,1,171
173,Real estate investing,1,172
174,Recipes,1,173
175,Recreational fishing,1,174
176,Reel,1,175
177,Research and development,1,176
178,Restaurants,1,177
179,Retail,1,178
180,Rice,1,179
181,Riff Raff (rapper),1,180
182,Robot,1,181
183,Sava,1,182
184,Seafood,1,183
185,Shoes,1,184
186,Shopping,1,185
187,Silver,1,186
188,"Sitka, Alaska",1,187
189,Ski,1,188
190,Slasher film,1,189
191,Snowboarding,1,190
192,Spectrum,1,191
193,Splatter film,1,192
194,Stars (Canadian band),1,193
195,Staycation,1,194
196,Strategic management,1,195
197,Streaming media,1,196
198,Stress (mechanics),1,197
199,Summer,1,198
200,Sun Peaks Resort,1,199
201,Sunrise,1,200
202,Sustainability,1,201
203,Tackle (American and Canadian football),1,202
204,Take-out,1,203
205,Technology,1,204
206,Tesla Model S,1,205
207,The Fall (2006 film),1,206
208,The Official SONiC 102.9 Page,1,207
209,Tide (brand),1,208
210,Time,1,209
211,Tinnitus,1,210
212,Tobacco,1,211
213,Tourism,1,212
214,Toys,1,213
215,TransLink (British Columbia),1,214
216,Travis Pastrana,1,215
217,University,1,216
218,User (computing),1,217
219,User experience design,1,218
220,User interface design,1,219
221,Veganism,1,220
222,Visual arts,1,221
223,Wattpad,1,222
224,Web design,1,223
225,Web developer,1,224
226,Web development,1,225
227,Website,1,226
228,Wet season,1,227
229,Wholesale,1,228
230,World Wide Web,1,229
231,Yacht,1,230
,,1,231
,,1,232
